date,run_gw,target_gw,bench_boost,triple_captain,wildcard,free_hit
2026-09-21,6,6,6.14,7.85,90.74,20.80
2026-09-21,6,7,6.56,9.99,,
2026-09-21,6,8,6.17,7.85,,
2026-09-21,6,9,6.44,9.99,,
2026-09-21,6,10,6.54,8.92,,
2026-09-21,6,6,6.14,7.85,90.74,20.80
2026-09-21,6,7,6.56,9.99,,
2026-09-21,6,8,6.17,7.85,,
2026-09-21,6,9,6.44,9.99,,
2026-09-21,6,10,6.54,8.92,,
2026-09-21,6,6,6.14,7.85,112.76,20.80
2026-09-21,6,7,6.56,9.99,,
2026-09-21,6,8,6.17,7.85,,
2026-09-21,6,9,6.44,9.99,,
2026-09-21,6,10,6.54,8.92,,
2026-09-21,6,11,6.02,9.99,,
